"Municipio","Ponto","Ambiente","Data","Ano","Especie","Estagio","Sexo","Lat","Long"
"Porto Velho","R2","Rural","10/08/2017",2017,"Amblyomma coelebs","Ninfa","Nao definido",-8.688419444,-63.67775833
"Porto Velho","R2","Rural","10/08/2017",2017,"Amblyomma coelebs","Ninfa","Nao definido",-8.688419444,-63.67775833
"Porto Velho","R2","Rural","10/08/2017",2017,"Amblyomma coelebs","Ninfa","Nao definido",-8.688419444,-63.67775833
"Porto Velho","R2","Rural","10/08/2017",2017,"Amblyomma coelebs","Ninfa","Nao definido",-8.688419444,-63.67775833
"Porto Velho","R2","Rural","10/08/2017",2017,"Amblyomma coelebs","Ninfa","Nao definido",-8.688419444,-63.67775833
"Porto Velho","R2","Rural","10/08/2017",2017,"Amblyomma coelebs","Ninfa","Nao definido",-8.688419444,-63.67775833
"Porto Velho","R2","Rural","10/08/2017",2017,"Amblyomma coelebs","Ninfa","Nao definido",-8.688419444,-63.67775833
"Porto Velho","R2","Rural","10/08/2017",2017,"Amblyomma coelebs","Ninfa","Nao definido",-8.688419444,-63.67775833
"Porto Velho","R2","Rural","10/08/2017",2017,"Amblyomma coelebs","Ninfa","Nao definido",-8.688419444,-63.67775833
"Porto Velho","R2","Rural","10/08/2017",2017,"Amblyomma coelebs","Ninfa","Nao definido",-8.688419444,-63.67775833
"Porto Velho","R2","Rural","10/08/2017",2017,"Amblyomma coelebs","Ninfa","Nao definido",-8.688419444,-63.67775833
"Porto Velho","R2","Rural","10/08/2017",2017,"Amblyomma coelebs","Ninfa","Nao definido",-8.688419444,-63.67775833
"Porto Velho","R2","Rural","10/08/2017",2017,"Amblyomma coelebs","Ninfa","Nao definido",-8.688419444,-63.67775833
"Porto Velho","R2","Rural","10/08/2017",2017,"Amblyomma coelebs","Ninfa","Nao definido",-8.688419444,-63.67775833
"Porto Velho","R2","Rural","10/08/2017",2017,"Amblyomma coelebs","Ninfa","Nao definido",-8.688419444,-63.67775833
"Porto Velho","R2","Rural","10/08/2017",2017,"Amblyomma coelebs","Ninfa","Nao definido",-8.688419444,-63.67775833
"Porto Velho","R2","Rural","10/08/2017",2017,"Amblyomma coelebs","Ninfa","Nao definido",-8.688419444,-63.67775833
"Porto Velho","R2","Rural","10/08/2017",2017,"Amblyomma coelebs","Ninfa","Nao definido",-8.688419444,-63.67775833
"Porto Velho","R2","Rural","10/08/2017",2017,"Amblyomma coelebs","Ninfa","Nao definido",-8.688419444,-63.67775833
"Porto Velho","R2","Rural","10/08/2017",2017,"Amblyomma coelebs","Ninfa","Nao definido",-8.688419444,-63.67775833
"Porto Velho","R2","Rural","10/08/2017",2017,"Amblyomma coelebs","Ninfa","Nao definido",-8.688419444,-63.67775833
"Porto Velho","R2","Rural","10/08/2017",2017,"Amblyomma coelebs","Ninfa","Nao definido",-8.688419444,-63.67775833
"Porto Velho","R2","Rural","10/08/2017",2017,"Amblyomma coelebs","Ninfa","Nao definido",-8.688419444,-63.67775833
"Porto Velho","R2","Rural","10/08/2017",2017,"Amblyomma coelebs","Ninfa","Nao definido",-8.688419444,-63.67775833
"Porto Velho","R2","Rural","10/08/2017",2017,"Amblyomma coelebs","Ninfa","Nao definido",-8.688419444,-63.67775833
"Porto Velho","R2","Rural","10/08/2017",2017,"Amblyomma coelebs","Ninfa","Nao definido",-8.688419444,-63.67775833
"Porto Velho","R2","Rural","10/08/2017",2017,"Amblyomma coelebs","Ninfa","Nao definido",-8.688419444,-63.67775833
"Porto Velho","R2","Rural","10/08/2017",2017,"Amblyomma coelebs","Ninfa","Nao definido",-8.688419444,-63.67775833
"Porto Velho","R2","Rural","10/08/2017",2017,"Amblyomma coelebs","Ninfa","Nao definido",-8.688419444,-63.67775833
"Porto Velho","R2","Rural","10/08/2017",2017,"Amblyomma coelebs","Ninfa","Nao definido",-8.688419444,-63.67775833
"Porto Velho","R2","Rural","10/08/2017",2017,"Amblyomma coelebs","Ninfa","Nao definido",-8.688419444,-63.67775833
"Porto Velho","R2","Rural","10/08/2017",2017,"Amblyomma coelebs","Ninfa","Nao definido",-8.688419444,-63.67775833
"Porto Velho","R2","Rural","10/08/2017",2017,"Amblyomma coelebs","Ninfa","Nao definido",-8.688419444,-63.67775833
"Porto Velho","R2","Rural","10/08/2017",2017,"Amblyomma coelebs","Ninfa","Nao definido",-8.688419444,-63.67775833
"Porto Velho","R2","Rural","10/08/2017",2017,"Amblyomma coelebs","Ninfa","Nao definido",-8.688419444,-63.67775833
"Porto Velho","R2","Rural","10/08/2017",2017,"Amblyomma coelebs","Ninfa","Nao definido",-8.688419444,-63.67775833
"Porto Velho","R2","Rural","10/08/2017",2017,"Amblyomma coelebs","Ninfa","Nao definido",-8.688419444,-63.67775833
"Porto Velho","R2","Rural","10/08/2017",2017,"Amblyomma coelebs","Ninfa","Nao definido",-8.688419444,-63.67775833
"Porto Velho","R2","Rural","10/08/2017",2017,"Amblyomma coelebs","Ninfa","Nao definido",-8.688419444,-63.67775833
"Porto Velho","R2","Rural","10/08/2017",2017,"Amblyomma coelebs","Ninfa","Nao definido",-8.688419444,-63.67775833
"Porto Velho","R2","Rural","10/08/2017",2017,"Amblyomma coelebs","Ninfa","Nao definido",-8.688419444,-63.67775833
"Porto Velho","R2","Rural","10/08/2017",2017,"Amblyomma coelebs","Ninfa","Nao definido",-8.688419444,-63.67775833
"Porto Velho","R2","Rural","10/08/2017",2017,"Amblyomma coelebs","Ninfa","Nao definido",-8.688419444,-63.67775833
"Porto Velho","R2","Rural","10/08/2017",2017,"Amblyomma coelebs","Ninfa","Nao definido",-8.688419444,-63.67775833
"Porto Velho","R2","Rural","10/08/2017",2017,"Amblyomma coelebs","Ninfa","Nao definido",-8.688419444,-63.67775833
"Porto Velho","R2","Rural","10/08/2017",2017,"Amblyomma coelebs","Ninfa","Nao definido",-8.688419444,-63.67775833
"Porto Velho","R2","Rural","10/08/2017",2017,"Amblyomma coelebs","Ninfa","Nao definido",-8.688419444,-63.67775833
"Porto Velho","R2","Rural","10/08/2017",2017,"Amblyomma coelebs","Ninfa","Nao definido",-8.688419444,-63.67775833
"Porto Velho","R2","Rural","10/08/2017",2017,"Amblyomma coelebs","Ninfa","Nao definido",-8.688419444,-63.67775833
"Porto Velho","R2","Rural","10/08/2017",2017,"Amblyomma coelebs","Ninfa","Nao definido",-8.688419444,-63.67775833
"Porto Velho","R2","Rural","10/08/2017",2017,"Amblyomma coelebs","Ninfa","Nao definido",-8.688419444,-63.67775833
"Porto Velho","R2","Rural","14/08/2017",2017,"Amblyomma coelebs","Ninfa","Nao definido",-8.688419444,-63.67775833
"Porto Velho","R1","Rural","03/08/2017",2017,"Haemaphisalis sp","Ninfa","Nao definido",-8.615180556,-63.92936389
"Porto Velho","R1","Rural","03/08/2017",2017,"Haemaphisalis sp","Ninfa","Nao definido",-8.615180556,-63.92936389
"Porto Velho","R1","Rural","03/08/2017",2017,"Haemaphisalis sp","Ninfa","Nao definido",-8.615180556,-63.92936389
"Porto Velho","R1","Rural","27/09/2017",2017,"Amblyomma oblongoguttatum","Ninfa","Nao definido",-8.615180556,-63.92936389
"Porto Velho","R1","Rural","27/09/2017",2017,"Amblyomma oblongoguttatum","Ninfa","Nao definido",-8.615180556,-63.92936389
"Porto Velho","R1","Rural","27/09/2017",2017,"Amblyomma oblongoguttatum","Ninfa","Nao definido",-8.615180556,-63.92936389
"Porto Velho","R1","Rural","27/09/2017",2017,"Amblyomma oblongoguttatum","Ninfa","Nao definido",-8.615180556,-63.92936389
"Porto Velho","R1","Rural","27/09/2017",2017,"Amblyomma oblongoguttatum","Ninfa","Nao definido",-8.615180556,-63.92936389
"Porto Velho","R2","Rural","29/09/2017",2017,"Amblyomma oblongoguttatum","Ninfa","Nao definido",-8.688419444,-63.67775833
"Porto Velho","R2","Rural","29/09/2017",2017,"Amblyomma oblongoguttatum","Ninfa","Nao definido",-8.688419444,-63.67775833
"Porto Velho","R4","Rural","29/09/2017",2017,"Amblyomma oblongoguttatum","Ninfa","Nao definido",-8.874847222,-63.97940833
"Porto Velho","R4","Rural","29/09/2017",2017,"Amblyomma oblongoguttatum","Ninfa","Nao definido",-8.874847222,-63.97940833
"Porto Velho","R4","Rural","29/09/2017",2017,"Amblyomma oblongoguttatum","Ninfa","Nao definido",-8.874847222,-63.97940833
"Porto Velho","R4","Rural","29/09/2017",2017,"Amblyomma oblongoguttatum","Ninfa","Nao definido",-8.874847222,-63.97940833
"Porto Velho","R4","Rural","29/09/2017",2017,"Amblyomma oblongoguttatum","Ninfa","Nao definido",-8.874847222,-63.97940833
"Porto Velho","R1","Rural","27/09/2017",2017,"Haemaphisalis sp","Ninfa","Nao definido",-8.615180556,-63.92936389
"Porto Velho","R1","Rural","27/09/2017",2017,"Haemaphisalis sp","Ninfa","Nao definido",-8.615180556,-63.92936389
"Porto Velho","R2","Rural","29/09/2017",2017,"Haemaphisalis sp","Ninfa","Nao definido",-8.688419444,-63.67775833
"Porto Velho","R3","Rural","26/09/2017",2017,"Amblyomma naponense","Ninfa","Nao definido",-8.8383,-63.85971389
"Porto Velho","R3","Rural","26/09/2017",2017,"Amblyomma naponense","Ninfa","Nao definido",-8.8383,-63.85971389
"Porto Velho","R3","Rural","26/09/2017",2017,"Amblyomma naponense","Ninfa","Nao definido",-8.8383,-63.85971389
"Porto Velho","R3","Rural","26/09/2017",2017,"Amblyomma naponense","Ninfa","Nao definido",-8.8383,-63.85971389
"Porto Velho","R3","Rural","26/09/2017",2017,"Amblyomma naponense","Ninfa","Nao definido",-8.8383,-63.85971389
"Porto Velho","R1","Rural","27/09/2017",2017,"Amblyomma naponense","Ninfa","Nao definido",-8.615180556,-63.92936389
"Porto Velho","R5","Rural","28/09/2017",2017,"Amblyomma naponense","Ninfa","Nao definido",-8.764338889,-64.08205278
"Porto Velho","R5","Rural","28/09/2017",2017,"Amblyomma naponense","Ninfa","Nao definido",-8.764338889,-64.08205278
"Porto Velho","R5","Rural","28/09/2017",2017,"Amblyomma naponense","Ninfa","Nao definido",-8.764338889,-64.08205278
"Porto Velho","R2","Rural","29/09/2017",2017,"Amblyomma naponense","Ninfa","Nao definido",-8.688419444,-63.67775833
"Porto Velho","R2","Rural","29/09/2017",2017,"Amblyomma naponense","Ninfa","Nao definido",-8.688419444,-63.67775833
"Porto Velho","R2","Rural","29/09/2017",2017,"Amblyomma naponense","Ninfa","Nao definido",-8.688419444,-63.67775833
"Porto Velho","R2","Rural","29/09/2017",2017,"Amblyomma naponense","Ninfa","Nao definido",-8.688419444,-63.67775833
"Porto Velho","R2","Rural","29/09/2017",2017,"Amblyomma naponense","Ninfa","Nao definido",-8.688419444,-63.67775833
"Porto Velho","R2","Rural","29/09/2017",2017,"Amblyomma naponense","Ninfa","Nao definido",-8.688419444,-63.67775833
"Porto Velho","R4","Rural","29/09/2017",2017,"Amblyomma naponense","Ninfa","Nao definido",-8.874847222,-63.97940833
"Porto Velho","R4","Rural","29/09/2017",2017,"Amblyomma naponense","Ninfa","Nao definido",-8.874847222,-63.97940833
"Porto Velho","R4","Rural","29/09/2017",2017,"Amblyomma naponense","Ninfa","Nao definido",-8.874847222,-63.97940833
"Porto Velho","R4","Rural","29/09/2017",2017,"Amblyomma naponense","Ninfa","Nao definido",-8.874847222,-63.97940833
"Porto Velho","R4","Rural","29/09/2017",2017,"Amblyomma naponense","Ninfa","Nao definido",-8.874847222,-63.97940833
"Porto Velho","R4","Rural","29/09/2017",2017,"Amblyomma naponense","Ninfa","Nao definido",-8.874847222,-63.97940833
"Porto Velho","R3","Rural","26/09/2017",2017,"Amblyomma scalpturatum","Ninfa","Nao definido",-8.8383,-63.85971389
"Porto Velho","R3","Rural","26/09/2017",2017,"Amblyomma scalpturatum","Ninfa","Nao definido",-8.8383,-63.85971389
"Porto Velho","R3","Rural","26/09/2017",2017,"Amblyomma scalpturatum","Ninfa","Nao definido",-8.8383,-63.85971389
"Porto Velho","R3","Rural","26/09/2017",2017,"Amblyomma scalpturatum","Ninfa","Nao definido",-8.8383,-63.85971389
"Porto Velho","R3","Rural","26/09/2017",2017,"Amblyomma scalpturatum","Ninfa","Nao definido",-8.8383,-63.85971389
"Porto Velho","R3","Rural","26/09/2017",2017,"Amblyomma scalpturatum","Ninfa","Nao definido",-8.8383,-63.85971389
"Porto Velho","R3","Rural","26/09/2017",2017,"Amblyomma scalpturatum","Ninfa","Nao definido",-8.8383,-63.85971389
"Porto Velho","R3","Rural","26/09/2017",2017,"Amblyomma scalpturatum","Ninfa","Nao definido",-8.8383,-63.85971389
"Porto Velho","R3","Rural","26/09/2017",2017,"Amblyomma scalpturatum","Ninfa","Nao definido",-8.8383,-63.85971389
"Porto Velho","R3","Rural","26/09/2017",2017,"Amblyomma scalpturatum","Ninfa","Nao definido",-8.8383,-63.85971389
"Porto Velho","R1","Rural","27/09/2017",2017,"Amblyomma scalpturatum","Ninfa","Nao definido",-8.615180556,-63.92936389
"Porto Velho","R1","Rural","27/09/2017",2017,"Amblyomma scalpturatum","Ninfa","Nao definido",-8.615180556,-63.92936389
"Porto Velho","R1","Rural","27/09/2017",2017,"Amblyomma scalpturatum","Ninfa","Nao definido",-8.615180556,-63.92936389
"Porto Velho","R1","Rural","27/09/2017",2017,"Amblyomma scalpturatum","Ninfa","Nao definido",-8.615180556,-63.92936389
"Porto Velho","R1","Rural","27/09/2017",2017,"Amblyomma scalpturatum","Ninfa","Nao definido",-8.615180556,-63.92936389
"Porto Velho","R1","Rural","27/09/2017",2017,"Amblyomma scalpturatum","Ninfa","Nao definido",-8.615180556,-63.92936389
